komentar;kategori;
saya suka sekali dengan lagu ini bawaan nya senang;tidak cyberbullying;
saya tim bapak selalu berdoa buat bapak semoga allah selalu menjaga bapak di setiap langkah bapak amin;tidak cyberbullying;
sayang aku pakai baju tertutup tapi kok ada titik misteriusnya ya;tidak cyberbullying;
sayang banget sama pak anies sehat sehat pak ;tidak cyberbullying;
sayang bapak prabowo;tidak cyberbullying;
sayang bapak selalu;tidak cyberbullying;
sayang kakak;tidak cyberbullying;
sayang kakak gimana pun modelnya;tidak cyberbullying;
sayang kakak semangat kak;tidak cyberbullying;
sayang ku sehat selalu bapak;tidak cyberbullying;
seandainya anies jadi presiden apakah klj akan berlaku untuk seluruh indonesia ;tidak cyberbullying;
sebenarnya bagus juga lebih bagus lagi kalau skripsinya di tiadakan karena selama ini kelulusan kuliah ditentukan sama skripsi;tidak cyberbullying;
sebenarnya kalau ga bersikap aneh kenapa sih;tidak cyberbullying;
sebenarnya lagunya sudah bagus tapi lebih baik kamu kalau lagunya dibuat lebih halus dan temponya lambat pasti aku nonton setiap hari deh semangat kekeyi;tidak cyberbullying;
sebenarnya tidak mau nonton ini;tidak cyberbullying;
sebenarnya yah netizen tidak mau hujat dia tapi dia bikin konten kayak minta di hujat gitu;tidak cyberbullying;
sedih banget kalau harus ngerasain kayak gitu;tidak cyberbullying;
sedih sekali;tidak cyberbullying;
sedih terharu bangga;tidak cyberbullying;
sedikit bicara banyak bertindak saya salut terima kasih pak anies;tidak cyberbullying;
segar banget mba maudy mirip temanku;tidak cyberbullying;
segera tobat lu dah tua ;tidak cyberbullying;
sehari tidak nonton kakak ricis rasanya tidak enak;tidak cyberbullying;
sehat pak anies;tidak cyberbullying;
sehat pak negara masih membutuhkanmu;tidak cyberbullying;
sehat panjang umur bapak ku ;tidak cyberbullying;
sehat sehat calon presiden republik indonesia diperiode selanjutnya;tidak cyberbullying;
sehat sehat pak;tidak cyberbullying;
sehat sehat pak prabowo semoga selalu dalam lindungan allah ;tidak cyberbullying;
sehat sehat selalu ya pak;tidak cyberbullying;
sehat sehat terus ya pak presiden ku;tidak cyberbullying;
sehat sehat ya kamu;tidak cyberbullying;
sehat sehat ya pak;tidak cyberbullying;
sehat sehat ya papa daring ku hampir mirip wajahnya seperti papa aku tapi papa lagi di rawat sekarang semoga sehat selalu kayak pak prabowo amin;tidak cyberbullying;
sehat selalu ;tidak cyberbullying;
sehat selalu bapak;tidak cyberbullying;
sehat selalu bapak;tidak cyberbullying;
sehat selalu bapak aniesbaswedan menenangkan sekali beliau buat warganya nyaman;tidak cyberbullying;
sehat selalu bapak gubernur allah selalu menyertai mu;tidak cyberbullying;
sehat selalu bapak prabowo;tidak cyberbullying;
sehat selalu bapak prabowo semua sayang bapak;tidak cyberbullying;
sehat selalu bapak presiden indonesia ;tidak cyberbullying;
sehat selalu bapak smoga selalu dijaga allah setiap langkah bapak aniesbaswedan ;tidak cyberbullying;
sehat selalu bapak tercinta ;tidak cyberbullying;
sehat selalu buat keluarga rans dan rekan ;tidak cyberbullying;
sehat selalu buat pak prabowo semangat mu untuk berbakti kepada bangsa dan negara memjadi tauladan bagi kami anak bangsa indonesia ;tidak cyberbullying;
sehat selalu dan bahagia selalu ya pak;tidak cyberbullying;
sehat selalu dan di lindungi oleh allah ya pak amin semangat terus pak anies dan para petugas yang membantu amin;tidak cyberbullying;
sehat selalu dan panjang umur ya pak;tidak cyberbullying;
sehat selalu dan tetap semangat pak;tidak cyberbullying;
sehat selalu jendral bapak prabowo idolaku dari dulu terus berbuat yang terbaik buat bangsa indonesia bapak;tidak cyberbullying;
sehat selalu jendral idolaku sampai kapanpun;tidak cyberbullying;
sehat selalu jendralku;tidak cyberbullying;
sehat selalu kak kimi hime aku sayang kakak;tidak cyberbullying;
sehat selalu kak ricis;tidak cyberbullying;
sehat selalu kakak idola semoga tuhan selalu melindungi kita semua;tidak cyberbullying;
sehat selalu kartini masa kini;tidak cyberbullying;
sehat selalu key semoga sukses;tidak cyberbullying;
sehat selalu kk ricis kak ricis selalu cantik;tidak cyberbullying;
sehat selalu komandan;tidak cyberbullying;
sehat selalu nggih pak ;tidak cyberbullying;
sehat selalu pak;tidak cyberbullying;
sehat selalu pak;tidak cyberbullying;
sehat selalu pak;tidak cyberbullying;
sehat selalu pak;tidak cyberbullying;
sehat selalu pak;tidak cyberbullying;
sehat selalu pak ;tidak cyberbullying;
sehat selalu pak ;tidak cyberbullying;
sehat selalu pak  harus jadi presiden;tidak cyberbullying;
sehat selalu pak  semoga bapak selalu dalam lindungan allah swt;tidak cyberbullying;
sehat selalu pak anies;tidak cyberbullying;
sehat selalu pak anies;tidak cyberbullying;
sehat selalu pak anies;tidak cyberbullying;
sehat selalu pak anies;tidak cyberbullying;
sehat selalu pak anies amin allahuma amin ;tidak cyberbullying;
sehat selalu pak anies presiden indonesia;tidak cyberbullying;
sehat selalu pak aniesbaswedan ;tidak cyberbullying;
sehat selalu pak aniesbaswedan ;tidak cyberbullying;
sehat selalu pak aniesbaswedan  kami bangga mempunyai gubernur seperti bapak;tidak cyberbullying;
sehat selalu pak aniesbaswedan selalu dalam lindungan allah swt amin ;tidak cyberbullying;
sehat selalu pak aniesbaswedan semoga jadi presiden republik indonesia amin;tidak cyberbullying;
sehat selalu pak anis semoga allah swt menjadiakan bapak sebagai presiden republik indonesia selanjutnya amin yaa robbal alamiinn;tidak cyberbullying;
sehat selalu pak calon presiden indonesia masa depan amin semoga allah selalu membimbing disetiap langkah bapak;tidak cyberbullying;
sehat selalu pak gubernur santri sehat indonesia kuat;tidak cyberbullying;
sehat selalu pak jendral;tidak cyberbullying;
sehat selalu pak kami selalu mendukung;tidak cyberbullying;
sehat selalu pak kami selalu mendukung;tidak cyberbullying;
sehat selalu pak menhan;tidak cyberbullying;
sehat selalu pak menhan amin;tidak cyberbullying;
sehat selalu pak prabowo;tidak cyberbullying;
sehat selalu pak prabowo ;tidak cyberbullying;
sehat selalu pak prabowo dan semoga selalu dalam lindungan allah swt;tidak cyberbullying;
sehat selalu pak prabowo kami tetap bersama mu;tidak cyberbullying;
sehat selalu pak presiden indonesia ;tidak cyberbullying;
sehat selalu pak salut buat pak aniesbaswedan  ;tidak cyberbullying;
sehat selalu rafathar mas raffi mbk gigi sukses terus rans semoga selalu dalam lindungan allah amin;tidak cyberbullying;
sehat selalu rans;tidak cyberbullying;
sehat selalu rans entertainment dan sukses selalu;tidak cyberbullying;
sehat selalu rans kru fans mari tebar kebaikan untuk adik ini ;tidak cyberbullying;
sehat selalu untuk para pemimpin negara kita;tidak cyberbullying;
sehat selalu ya bapak prabowo;tidak cyberbullying;
sehat selalu ya mbak najwa ;tidak cyberbullying;
sehat selalu ya pak barakallah pak anies sedih lihat jakarta;tidak cyberbullying;
sehat selalu ya pak tetap jadi gubernur yang selalu bertutur kata baik ;tidak cyberbullying;
sehat selalu yak pak anies;tidak cyberbullying;
sehat terus bapak  aniesbaswedan;tidak cyberbullying;
sehat terus bapak idola ku;tidak cyberbullying;
sehat terus gubernur indonesia;tidak cyberbullying;
sehat terus kak kimi;tidak cyberbullying;
sehat terus keluarga kak raffi gigi;tidak cyberbullying;
sehat terus mak beti dan rans keluarga amin;tidak cyberbullying;
sehat terus mba nana;tidak cyberbullying;
sehat terus paaaa dan semua tim yang bekerja keras semoga allah balas dengan pahala berlipat ganda ;tidak cyberbullying;
sehat terus pak;tidak cyberbullying;
sehat terus pak;tidak cyberbullying;
sehat terus pak ;tidak cyberbullying;
sehat terus pak anies;tidak cyberbullying;
sehat terus pak anies dan keluarga dijauhkan dari semua fitnah saya cuma bisa mendukung doa pak anies ayo bantu doa;tidak cyberbullying;
sehat terus pak gubernur;tidak cyberbullying;
sehat terus pak gubernur dan semua petugas yang bekerja keras siang malam;tidak cyberbullying;
sehat terus pak prabowo;tidak cyberbullying;
sehat terus pak prabowo;tidak cyberbullying;
sehat terus pak prabowo ;tidak cyberbullying;
sehat terus pak prabowo mantap;tidak cyberbullying;
sehat terus pak semoga allah memberikan umur panjang dan keberkahan dalam hidup pak anies dan keluarga amin;tidak cyberbullying;
sehat terus selalu untuk bapak gubernur ;tidak cyberbullying;
sehat terus untuk pak anies dan ratusan orang lainnya yang turun tangan untuk memulihkannya;tidak cyberbullying;
sehat terus ya pak banyak yang doain bapak indonesia butuh orang seperti bapak semoga allah selalu melindungi bapak dan keluarga;tidak cyberbullying;
sehat terus ya pak semoga selalu dalam lindungan allah;tidak cyberbullying;
sehat terus ya sukses selalu;tidak cyberbullying;
sehat ya pak;tidak cyberbullying;
sejujurnya selama ini aku bertanya tanya ngapain sih kamu upload video atau foto yang ya seakan minta di hujat mikir lah mbak kalau ga mau di bully jangan kayak begitu jangan mancing orang untuk menghujat kamu dan lagi hargai mereka yang membantumu sebut nama mereka ketika ditanya jangan jawab kamu ngakunya mengerjakan semuanya sendirian mbak kamu pasti dibantu mereka kan lalu kalau kamu ga mau di katain orang pelakor yang di blok itu bukan teman kamu tapi orang netizen yang ngatain kamu pelakor;tidak cyberbullying;
sejuk deh lihat muka nya pak ;tidak cyberbullying;
sejuk lihat wajahnya;tidak cyberbullying;
sejuknya pemimpin begini ;tidak cyberbullying;
sekali merdeka tetap merdeka;tidak cyberbullying;
sekarang aku baru tahu kayaknya kekeyi ikutin mas rudi yang masak di rasa sayange;tidak cyberbullying;
sekarang kita paham bahwa hanya di indonesia hal hal yang aneh lah yang menjadi topik menarik;tidak cyberbullying;
seketika rio dalam hati ngomong anjir segitunya kekeyi suka sama aku sampai sampai aku diceritain di lagunya;tidak cyberbullying;
sekses terus buat kak ricis;tidak cyberbullying;
seksi sekali ya;tidak cyberbullying;
selalu adem lihat kak maudy sehat selalu ya kak;tidak cyberbullying;
selalu bikin tertawa tim ricis;tidak cyberbullying;
selalu cantik berbusana nya;tidak cyberbullying;
selalu dan selalu mendukung bapak prabowo;tidak cyberbullying;
selalu dukung kebijakan pemprov dki;tidak cyberbullying;
selalu hati hati ya kak;tidak cyberbullying;
selalu istiqomah ya pak;tidak cyberbullying;
selalu keren;tidak cyberbullying;
selalu keren banget ;tidak cyberbullying;
selalu keren sepatunya mbak najwa;tidak cyberbullying;
selalu naksir sama sepatu;tidak cyberbullying;
selalu salah fokus sama sepatunya;tidak cyberbullying;
selalu salah fokus sama sepatunya semoga sehat yah idolaku;tidak cyberbullying;
selalu sehat bapak ku semoga di tangan bapak indonesia menjadi tidak terkalah kan menteri yang luar biasa semoga pak prabowo dan pak jokowi selalu dalam lindungan allah amin;tidak cyberbullying;
selalu sehat pak;tidak cyberbullying;
selalu sehat ya pak;tidak cyberbullying;
selalu suka dengan postingan akun pak anies kalimat nya lugas sederhana dan rendah hati kalau orang jawa bilang sekalipun itu yang posting admin nya ya karena admin nya pasti juga orang baik seperti pak anis dari menulis judul nya saja sudah terlihat pangumuman dari dinsos dki bukan mengatasnamakan bantuan gubernur atau bantuan seperti yang itu barakallah pak anis selalu semangat menjadi pemimpin yang amanah yang takut dengan allah ;tidak cyberbullying;
selalu suka sama sepatunya ;tidak cyberbullying;
selalu suka sama sepatunya mbak nana;tidak cyberbullying;
selama liburan aku lupa rumus matematika;tidak cyberbullying;
selamat atas juta subs key;tidak cyberbullying;
selamat buat semua wisudawan ldr atas perjuangan kesabaran ketekunan dan kelulusannya semoga berkah salut buat mba nana ;tidak cyberbullying;
selamat buat wisudawan wisudawati semoga sukses ke depannya;tidak cyberbullying;
selamat dan semoga beruntung kekeyi tetap berkarya ya;tidak cyberbullying;
selamat dirgahayu indonesia jaya;tidak cyberbullying;
selamat hari raya rindu mbak najwashihab ;tidak cyberbullying;
selamat hari santri nasional terimakasih pak gubernur ;tidak cyberbullying;
selamat hari santri pak oiya pak kapan sekolah bisa tatap muka lagi ya pak;tidak cyberbullying;
selamat hari santri santrinya sehat gubernurnya kuat berkah ya pak anis;tidak cyberbullying;
selamat hari santri semoga tidak ada lagi yang bilang santri bibit teroris;tidak cyberbullying;
selamat hari santri sesama santri harus bersatu jangan sampai dipecah belah ketua yayasan pondok pesantren harus dipimpin seorang santri jangan sampai ketua yayasan pondok pesantren dipimpin seorang non muslim semoga bang anies selalu dilindungi allah swt;tidak cyberbullying;
selamat insyaallah negeri ini akan makmur jaya dan beribawa di bawah kepemimpinan bapak aniesbaswedan amin;tidak cyberbullying;
selamat juta subscribe;tidak cyberbullying;
selamat juta subscribers;tidak cyberbullying;
selamat kak kekeyi;tidak cyberbullying;
selamat kak ricis semoga rezekinya lancar makin sukses;tidak cyberbullying;
selamat keke penonton nya banyak;tidak cyberbullying;
selamat kekeyi  juta subscribers nya;tidak cyberbullying;
selamat kekeyi mantap jiwa;tidak cyberbullying;
selamat kekeyi sudah juta subscriber;tidak cyberbullying;
selamat kekeyi untuk m nya terus berkarya abaikan saja netizen yang cuma bisa komentar dengan hujatan mereka cuma bisa komentar saja tanpa bisa berkarya tanpa haters ga akan bisa terkenal semangat;tidak cyberbullying;
selamat ketemu nanti malam mama hits;tidak cyberbullying;
selamat key juta subnya;tidak cyberbullying;
selamat key miliar subscribersnya;tidak cyberbullying;
selamat malam juga sahabat;tidak cyberbullying;
selamat malam kekeyi;tidak cyberbullying;
selamat malam sahabat;tidak cyberbullying;
selamat malam semoga kalian mimpi indah sahabat kekeyi;tidak cyberbullying;
selamat menonton mata najwa kecuali raul lemos;tidak cyberbullying;
selamat pagi orang hebat;tidak cyberbullying;
selamat pagi pak prabowo;tidak cyberbullying;
selamat siang pak aniesbaswedan mengapa orang tua saya ikut program lanjut usia ini belum dapat  bagaimana cara mengecek nya ;tidak cyberbullying;
selamat siang semoga sehat selalu;tidak cyberbullying;
selamat sore sahabat;tidak cyberbullying;
selamat ulang tahun kak ;tidak cyberbullying;
selamat ulang tahun kak semoga panjang umur sehat selalu amin;tidak cyberbullying;
selamat untuk rahmawati kekeyi putri cantika untuk juta subscribers;tidak cyberbullying;
selamat ya kak kekeyi sudah juta subscribe sehat terus yaa;tidak cyberbullying;
selamat ya kakak kekeyi cantik sudah juta subscribers;tidak cyberbullying;
selamat ya kekeyi sudah juta subscribes;tidak cyberbullying;
selamat ya keyy atas juta subs nya;tidak cyberbullying;
selamat yh kekeyi sudah juta subcriber nya;tidak cyberbullying;
selanjutnya anies sebagai presiden indonesia;tidak cyberbullying;
selanjutnya kekeyi ternyata boneka;tidak cyberbullying;
selanjutnya lagu aku bukan ondel ondelmu;tidak cyberbullying;
selanjutnya podcast bareng uus podcastrafathar;tidak cyberbullying;
selanjutnya podcast om keanu;tidak cyberbullying;
selanjutnya sama om siwon dong aa;tidak cyberbullying;
selanjutnya undang pak tarno jadi apa prok prok prok ;tidak cyberbullying;
selesai lockdown jangan sampai lagu ini diputer di odong pasar malam ultah anak tempat permainan anak gawat;tidak cyberbullying;
selesai nonton video ini aku langsung masuk angin;tidak cyberbullying;
selesaikan dulu tangis kencangmu baru nanti belajar silat syahdu biar harum mu mengundang cah ayu suara mu menggetarkan kalbu dan tatapmu melelehkan hati yang beku;tidak cyberbullying;
seluruh badan kapan mba;tidak cyberbullying;
semakin banyak hujatan semakin kekeyi didepan;tidak cyberbullying;
semakin jauh melangkah kau akan menemukan alasan dibalik kenapa kau berkarya yang awalnya bisa dikatakan ikut ikutan namun pada akhirnya kau harus menentukan arah tidakahmu yang sebenarnya tidak apa dikatakan ikut ikutan karena akan tiba masanya semakin lama berkarya kau akan dihadapkan dengan dua pilihan tetap meniru atau menciptakan ciri khas karyamu sendiri;tidak cyberbullying;
semangat aa rafathar semoga sehat;tidak cyberbullying;
semangat bapak  semoga allah membalas kebaikan bapak dan semua tim  terima kasih telah menjadi yang terbaik ;tidak cyberbullying;
semangat bapak salam sejahtera;tidak cyberbullying;
semangat bapak terima kasih buat semua yang sudah kerja keras kalian hebat;tidak cyberbullying;
semangat berjuang terus pak demi bangsa dan negara semoga bapak selalu di beri nikmat sehat dan lindungan dari allah swt;tidak cyberbullying;
semangat buat semua petugasnya semangat juga pak anies;tidak cyberbullying;
semangat idolaku;tidak cyberbullying;
semangat kak;tidak cyberbullying;
semangat kak;tidak cyberbullying;
semangat kak kekeyi;tidak cyberbullying;
semangat kak key;tidak cyberbullying;
semangat kak kimi;tidak cyberbullying;
semangat kak kimi;tidak cyberbullying;
semangat kakak;tidak cyberbullying;
semangat kawan kawan yang membersihkan dan tetap sehat bapak gubernur;tidak cyberbullying;
semangat kekeyi;tidak cyberbullying;
semangat kekeyi;tidak cyberbullying;
semangat kekeyi;tidak cyberbullying;
semangat kekeyi;tidak cyberbullying;
semangat kekeyi allah tidak tidur untuk orang yang terus mau berusaha semoga rezekinya berlimpah ya kekeyi;tidak cyberbullying;
semangat kekeyi kamu pasti bisa lawan orang yang hujat kamu mereka ngehujat kamu itu karena mereka iri mereka tidak bisa jadi kaya kamu kuat;tidak cyberbullying;
semangat kekeyi meskipun banyak yang menghujatmu di luar sana pasti banyak yang mendukung mu tapi bukan aku;tidak cyberbullying;
semangat kekeyi rejeki ditangan tuhan terus buat prestasimu juga dan jangan hiraukan nyinyiran sampah netizen julid dengan kamu;tidak cyberbullying;
semangat kekeyibagus kok lagu mugausah dengarin orang yang suka hujat kamu;tidak cyberbullying;
semangat kerja pak ;tidak cyberbullying;
semangat key;tidak cyberbullying;
semangat mba nana najwashihab;tidak cyberbullying;
semangat mbak nana;tidak cyberbullying;
semangat mbak nana dan teman doakan kami yang masih berjuang agar segera menyelesaikan studi;tidak cyberbullying;
semangat om lucinta luna;tidak cyberbullying;
semangat pak;tidak cyberbullying;
semangat pak anies beserta jajarannya semoga allah membalas kebaikan bapak semua sehat selalu pak ;tidak cyberbullying;
semangat pak anies dan para petugas;tidak cyberbullying;
semangat pak anies semoga lelah bapak digantikan dengan pahala berlipat;tidak cyberbullying;
semangat pak anies semoga sehat selalu ;tidak cyberbullying;
semangat pak anies semoga sehat selalu terima kasih ;tidak cyberbullying;
semangat pak gubernur;tidak cyberbullying;
semangat pak prabowo kami rakyat membutuh kan pemimpin yang benar bisa membangun indonesia seperti yang seharusnya pak yang terpenting itu pemimpin yang tidak lupa akan rakyat nya semoga bapak yang dekat dengan bpk presiden bisa membantu memimpin indonesia yang lebih berkembang dan lebih maju;tidak cyberbullying;
semangat pak presiden eh pak gubernur;tidak cyberbullying;
semangat pak sehat selalu amin;tidak cyberbullying;
semangat pak semoga lancar ;tidak cyberbullying;
semangat sahabat;tidak cyberbullying;
semangat sahabat;tidak cyberbullying;
semangat siarannya mba nana;tidak cyberbullying;
semangat terus buat lagu nya;tidak cyberbullying;
semangat terus kak;tidak cyberbullying;
semangat terus kak kekeyi;tidak cyberbullying;
semangat terus kak kimi jangan pantang mundur;tidak cyberbullying;
semangat terus kekeyi;tidak cyberbullying;
semangat terus key;tidak cyberbullying;
semangat terus pak anies;tidak cyberbullying;
semangat terus pak anies gubernur terbaik;tidak cyberbullying;
semangat terus rafathar semoga bisa mengikuti jejak yang bang raffi dan selalu tambah pintar  ;tidak cyberbullying;
semangat terus untuk bapak;tidak cyberbullying;
semangat terus untuk pak prabowo ;tidak cyberbullying;
semangat terus ya peri kecil;tidak cyberbullying;
semangat teruss aa;tidak cyberbullying;
semangat trus keluarga rans entertainment ;tidak cyberbullying;
semangat ya kak jangan dengarin omongan orang yang penting halal dan tidak nyusahin orang lain;tidak cyberbullying;
semangat ya kak kimi;tidak cyberbullying;
semangat ya kekeyi tidak perlu didengarkan;tidak cyberbullying;
semangat ya key jangan putus semangat di luar sana banyak yang dukung kekeyi jangan sedih ya key aku tau kamu berbakat tetap semangat semua ini adalah ujian dari allah untuk kamu key jadi kamu harus sabar dan jangan sedih allah pasti merencanakan sesuatu yang lebih baik dari ini aku selalu dukung kamu;tidak cyberbullying;
semangat ya pak;tidak cyberbullying;
semangat ya yang lagi scroll komentar;tidak cyberbullying;
semangat yak kak semoga sukses selalu;tidak cyberbullying;
semangatin kami dong mbak najwashihab kami sedang bergeliat mengembangkan literasi didesa kami ;tidak cyberbullying;
semoga allah melindungi bapak juga beserta keluarga dan staf semuanya;tidak cyberbullying;
semoga allah memberikan perlindungan kepada kita dari wabah ini;tidak cyberbullying;
semoga allah muliakan bapak aniesbaswedan semoga selalu dalam lindunggan allah semoga allah selalu ridho dengan apa yang bapak jalan kan amin;tidak cyberbullying;
semoga allah selalu melindugi bapak ya bekerja karena ibadah dan selalu menerima aspirasi rakyat;tidak cyberbullying;
semoga allah selalu memberi kekuatan kepada bapak ;tidak cyberbullying;
semoga allah selalu sehat kan pak anies dan selalu dalam ridho dan lindungan nya amin;tidak cyberbullying;
semoga amanah pak aniesbaswedan;tidak cyberbullying;
semoga anak santri diberi keberkahan ;tidak cyberbullying;
semoga bapak aniesbaswedan selalu sehat walafiat dan dijaga allah dimana pun bapak berada  amin;tidak cyberbullying;
semoga bapak juga sehat dimana pun berada;tidak cyberbullying;
semoga bapak juga selalu diberi kesehatan dipanjangkan umurnya  selalu dalam lindungan allah swt amin salam dari garut pak;tidak cyberbullying;
semoga bapak juga selalu sehat dan semoga selalu berpihak pada rakyat yang cinta tanah air;tidak cyberbullying;
semoga bapak ku sehat murah rezeki selalu tetap mengutamakan kesejahteraan bangsa indonesia dan rakyat;tidak cyberbullying;
semoga bapak masih punya kesempatan untuk memimpin negeri ini amin;tidak cyberbullying;
semoga bapak membaca saran saya pak sehat selalu ya pak jenderal komando;tidak cyberbullying;
semoga bapak prabowo selalu dalam lindungan allah ;tidak cyberbullying;
semoga bapak sehat selalu biarpun saya warga jabar tapi saya mendukung bapak jadi presiden ;tidak cyberbullying;
semoga bapak selalu dalam lindumgan allah swt amin;tidak cyberbullying;
semoga bapak selalu dalam lindungan allah swt sehat selalu pak;tidak cyberbullying;
semoga bapak selalu diberikan kesehatan amin;tidak cyberbullying;
semoga bapak selalu sehat dan dalam lindungan allah;tidak cyberbullying;
semoga bapak selalu sehat dan dalam penjagaan allah swt amin;tidak cyberbullying;
semoga bapak selalu sehat tetap semangat;tidak cyberbullying;
semoga bapak tetap dalam lindungan allah swt amin ;tidak cyberbullying;
semoga berkah pak tidak perlu membuat orang yang benci menjadi suka tetaplah bekerja untuk ibadah karena allah allah bisa membolak balik hati manusia;tidak cyberbullying;
semoga berkah untuk yang nerimanya barakallah untuk gubernur dki dan jajarannya;tidak cyberbullying;
semoga bermanfaat dan berkah buat penerima dan pemberinya;tidak cyberbullying;
semoga beruntung rans dengan mak beti sehat selalu dan lancar rezekinya amin ;tidak cyberbullying;
semoga channel ria ricis maju terus ;tidak cyberbullying;
semoga da kyung tidak melihat ini;tidak cyberbullying;
semoga dana operasional kader dasawisma juga bisa tiap bulan keluar nya ya pak buat tambah pemasukan kebutuhan ibu rumah tangga tiap bulan nya  sehat selalu bapak gubernur kita ;tidak cyberbullying;
semoga di kota lain bisa ada program seperti itu meskipun sudah tidak tinggal di jakarta lagi tapi ktp masih jkt apa bisa ya ;tidak cyberbullying;
semoga diberi kesehatan dan keselamatan bpk;tidak cyberbullying;
semoga indonesia bisa menjadi macan asia lagi bahkan macan dunia;tidak cyberbullying;
semoga indonesia cepet kembali pulih seperti dulu;tidak cyberbullying;
semoga jodohnya kak ricis sepupunya ya amin cocok;tidak cyberbullying;
semoga ka raffi ahmad dan ka gigi dan aa rafathar dan keluarga dan semua yang ada yang ada dirumah ka rafi dipanjangkan umur disehatkan badan dimurahkan rezekinya semoga semakin sukses dikuatkan iman semoga berkah ya amin jaya terus rans intertaiment;tidak cyberbullying;
semoga kak raffi ahmad kaya semoga kak raffi ahmad kaya semoga kak raffi ahmad kaya;tidak cyberbullying;
semoga kak ricis sama aa spiral berjodoh;tidak cyberbullying;
semoga kamu berubah jadi tidak sombong lagi;tidak cyberbullying;
semoga kamu selalu diberkahi hidupnya amin;tidak cyberbullying;
semoga kamu selalu diberkahi hidupnya amin;tidak cyberbullying;
semoga kekeyi juga mimpi indah dan semoga kekeyi tidak di bully lagi amin;tidak cyberbullying;
semoga keluarga aa raffi dan kak nagita rans keluarga diberikan kesehatan;tidak cyberbullying;
semoga keluarga aa rafi sehat selalu ;tidak cyberbullying;
semoga keluarga kak raffi dan kak beti panjang umur dan sehat selalu amin dan semua usaha nya lancar semua;tidak cyberbullying;
semoga keluarga raffi ahmad sehat selalu berkah amin;tidak cyberbullying;
semoga keluarga rans selalu sehat ;tidak cyberbullying;
semoga kita semua di lindungi oleh allah amin;tidak cyberbullying;
semoga makin suses dan bagus lagi;tidak cyberbullying;
semoga masih dapat rezeki dari keluarga nya mas raffi ahmad ;tidak cyberbullying;
semoga mimpi aku ya sahabat;tidak cyberbullying;
semoga najwashihab kita semua selalu di berikan kesehatan amin ;tidak cyberbullying;
semoga pak anies baswedan juga sehat selalu;tidak cyberbullying;
semoga pak anies sehat dan selalu dalam lindungan allah swt amin;tidak cyberbullying;
semoga pak anies selalu sehat dan dalam lindungan allah swt semoga keberkahan dan kebaikan selalu mengelilingi bapak dan keluarga;tidak cyberbullying;
semoga panjang umur sehat selalu;tidak cyberbullying;
semoga rafathar panjang umur sehat selalu dan mudah rejeki amin ;tidak cyberbullying;
semoga sehat bang derry;tidak cyberbullying;
semoga sehat selalu ;tidak cyberbullying;
semoga sehat selalu bapak calon presiden ;tidak cyberbullying;
semoga sehat selalu keluarga rans dan semua tim nya;tidak cyberbullying;
semoga sehat selalu om raffi dan keluarga ;tidak cyberbullying;
semoga sehat selalu pak;tidak cyberbullying;
semoga sehat selalu pak aniesbaswedan;tidak cyberbullying;
semoga sehat selalu pak prabowo ;tidak cyberbullying;
semoga sehat selalu untuk pak aniesbaswedan   jadi calon presiden saja pak insya allah kepilih amin ;tidak cyberbullying;
semoga sehat terus dalam lindungan allah swt serta di mudahkan segala tugasnya;tidak cyberbullying;
semoga sehat terus ya;tidak cyberbullying;
semoga selalu bahagia dunia akhirat ibu gigi aa raffi dan rafathar;tidak cyberbullying;
semoga selalu baik baik saja;tidak cyberbullying;
semoga selalu dalam bimbingan allah swt pak amin ;tidak cyberbullying;
semoga selalu dalam lindungan allah pak;tidak cyberbullying;
semoga selalu dalam lindungan allah pak sehat terus pak;tidak cyberbullying;
semoga selalu dalam lindungan allah swt bapak amin allahuma amin ;tidak cyberbullying;
semoga selalu dalam lindungan allah swt ya bapak anies;tidak cyberbullying;
semoga selalu dalam lindungan allah swt ya pak gubernur kusehat selalu amanah selalu dan istiqomah selalu amin;tidak cyberbullying;
semoga selalu diberikan keberkahan dan kesehatan selalu;tidak cyberbullying;
semoga selalu sehat dan bahagia buat keluarga mas raffi ahmad dan mbak gigi;tidak cyberbullying;
semoga selalu sehat dan kuat lancar dan sukses selalu buat pak;tidak cyberbullying;
semoga selalu sehat pak aniesbaswedan dan tetap semangat pak;tidak cyberbullying;
semoga selalu sehat pak gubernur;tidak cyberbullying;
semoga selalu sehat pak panjang umur dan selalu dalam lindungan allah amin ;tidak cyberbullying;
semoga selalu sehat pak semoga selalu dalam lindungan allah swt saya selalu bangga pada bapak;tidak cyberbullying;
semoga suatu hari nanti bisa belanja sama keluarga tanpa lihat harga nya;tidak cyberbullying;
semoga sukses ya kak acaranya;tidak cyberbullying;
sempat susah bedain kanan dan kiri tidak ingat arah rumah saudara;tidak cyberbullying;
sempurna pemimpin yang pantas membawa nama ri ke kancah internasional sukses selalu;tidak cyberbullying;
sempurna pemimpin yang pantas membawa nama ri ke kancah internasional sukses selalu;tidak cyberbullying;
semua salah pak anis kenapa tidak jadi gubernur ku;tidak cyberbullying;
semua sayang kekeyi semangat anak manis;tidak cyberbullying;
senang  banget ;tidak cyberbullying;
senang banget kalau aa mau podcast;tidak cyberbullying;
senang banget lihat sepatu yang kita bikin ditempat kerja dipakai mbak nana;tidak cyberbullying;
